areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newDeaths28DaysByDeathDate
nation,England,E92000001,2021-10-25,10375,7526898,20
nation,England,E92000001,2021-10-24,27043,7516523,77
nation,England,E92000001,2021-10-23,27485,7489480,80
nation,England,E92000001,2021-10-22,33360,7461995,82
nation,England,E92000001,2021-10-21,37520,7428635,88
nation,England,E92000001,2021-10-20,42930,7391115,96
nation,England,E92000001,2021-10-19,43518,7348185,98
nation,England,E92000001,2021-10-18,48118,7304667,87
nation,England,E92000001,2021-10-17,36717,7256549,99
nation,England,E92000001,2021-10-16,30978,7219832,93
nation,England,E92000001,2021-10-15,35840,7188854,98
nation,England,E92000001,2021-10-14,38407,7153014,109
nation,England,E92000001,2021-10-13,39714,7114607,86
nation,England,E92000001,2021-10-12,40018,7074893,84
nation,England,E92000001,2021-10-11,42222,7034875,90
nation,England,E92000001,2021-10-10,30885,6992653,67
nation,England,E92000001,2021-10-09,26562,6961768,88
nation,England,E92000001,2021-10-08,29232,6935206,88
nation,England,E92000001,2021-10-07,31535,6905974,90
nation,England,E92000001,2021-10-06,31880,6874439,74
nation,England,E92000001,2021-10-05,31564,6842559,86
nation,England,E92000001,2021-10-04,35746,6810995,80
nation,England,E92000001,2021-10-03,26590,6775249,75
nation,England,E92000001,2021-10-02,21420,6748659,74
nation,England,E92000001,2021-10-01,23626,6727239,96
nation,England,E92000001,2021-09-30,26247,6703613,81
nation,England,E92000001,2021-09-29,28138,6677366,83
nation,England,E92000001,2021-09-28,29013,6649228,75
nation,England,E92000001,2021-09-27,33895,6620215,77
nation,England,E92000001,2021-09-26,26264,6586320,68
nation,England,E92000001,2021-09-25,22653,6560056,91
nation,England,E92000001,2021-09-24,25214,6537403,91
nation,England,E92000001,2021-09-23,27710,6512189,102
nation,England,E92000001,2021-09-22,28184,6484479,100
nation,England,E92000001,2021-09-21,29952,6456295,93
nation,England,E92000001,2021-09-20,31453,6426343,102
nation,England,E92000001,2021-09-19,24262,6394890,90
nation,England,E92000001,2021-09-18,20524,6370628,92
nation,England,E92000001,2021-09-17,21915,6350104,122
nation,England,E92000001,2021-09-16,21737,6328189,113
nation,England,E92000001,2021-09-15,21953,6306452,101
nation,England,E92000001,2021-09-14,22147,6284499,118
nation,England,E92000001,2021-09-13,24642,6262352,72
nation,England,E92000001,2021-09-12,17507,6237710,102
nation,England,E92000001,2021-09-11,16597,6220203,103
nation,England,E92000001,2021-09-10,20533,6203606,108
nation,England,E92000001,2021-09-09,23905,6183073,128
nation,England,E92000001,2021-09-08,25056,6159168,113
nation,England,E92000001,2021-09-07,27348,6134112,124
nation,England,E92000001,2021-09-06,32376,6106764,120
nation,England,E92000001,2021-09-05,22966,6074388,115
nation,England,E92000001,2021-09-04,22968,6051422,110
nation,England,E92000001,2021-09-03,28113,6028454,125
nation,England,E92000001,2021-09-02,29977,6000341,99
nation,England,E92000001,2021-09-01,30938,5970364,94
nation,England,E92000001,2021-08-31,32854,5939426,95
nation,England,E92000001,2021-08-30,24398,5906572,90
nation,England,E92000001,2021-08-29,18731,5882174,106
nation,England,E92000001,2021-08-28,19687,5863443,102
nation,England,E92000001,2021-08-27,23712,5843756,106
nation,England,E92000001,2021-08-26,25899,5820044,105
nation,England,E92000001,2021-08-25,27244,5794145,87
nation,England,E92000001,2021-08-24,27545,5766901,103
nation,England,E92000001,2021-08-23,29664,5739356,95
nation,England,E92000001,2021-08-22,21953,5709692,101
nation,England,E92000001,2021-08-21,22145,5687739,87
nation,England,E92000001,2021-08-20,25006,5665594,101
nation,England,E92000001,2021-08-19,28392,5640588,92
nation,England,E92000001,2021-08-18,30695,5612196,78
nation,England,E92000001,2021-08-17,30331,5581501,94
nation,England,E92000001,2021-08-16,30147,5551170,71
nation,England,E92000001,2021-08-15,20843,5521023,71
nation,England,E92000001,2021-08-14,20909,5500180,79
nation,England,E92000001,2021-08-13,24458,5479271,87
nation,England,E92000001,2021-08-12,27073,5454813,92
nation,England,E92000001,2021-08-11,28489,5427740,79
nation,England,E92000001,2021-08-10,26986,5399251,69
nation,England,E92000001,2021-08-09,27629,5372265,68
nation,England,E92000001,2021-08-08,19704,5344636,65
nation,England,E92000001,2021-08-07,19498,5324932,85
nation,England,E92000001,2021-08-06,24298,5305434,79
nation,England,E92000001,2021-08-05,27512,5281136,89
nation,England,E92000001,2021-08-04,28238,5253624,70
nation,England,E92000001,2021-08-03,26406,5225386,66
nation,England,E92000001,2021-08-02,25974,5198980,66
nation,England,E92000001,2021-08-01,18217,5173006,73
nation,England,E92000001,2021-07-31,18006,5154789,76
nation,England,E92000001,2021-07-30,21585,5136783,93
nation,England,E92000001,2021-07-29,24791,5115198,64
nation,England,E92000001,2021-07-28,26339,5090407,70
nation,England,E92000001,2021-07-27,25434,5064068,60
nation,England,E92000001,2021-07-26,25922,5038634,65
nation,England,E92000001,2021-07-25,19239,5012712,63
nation,England,E92000001,2021-07-24,19850,4993473,63
nation,England,E92000001,2021-07-23,24008,4973623,70
nation,England,E92000001,2021-07-22,27163,4949615,64
nation,England,E92000001,2021-07-21,31039,4922452,44
nation,England,E92000001,2021-07-20,35115,4891413,49
nation,England,E92000001,2021-07-19,42440,4856298,71
nation,England,E92000001,2021-07-18,32495,4813858,56
nation,England,E92000001,2021-07-17,34641,4781363,44
nation,England,E92000001,2021-07-16,50134,4746722,39
nation,England,E92000001,2021-07-15,56367,4696588,44
nation,England,E92000001,2021-07-14,49285,4640221,32
nation,England,E92000001,2021-07-13,42308,4590936,38
nation,England,E92000001,2021-07-12,39641,4548628,32
nation,England,E92000001,2021-07-11,26937,4508987,25
nation,England,E92000001,2021-07-10,24930,4482050,32
nation,England,E92000001,2021-07-09,28457,4457120,38
nation,England,E92000001,2021-07-08,29275,4428663,26
nation,England,E92000001,2021-07-07,33513,4399388,23
nation,England,E92000001,2021-07-06,30964,4365875,19
nation,England,E92000001,2021-07-05,29531,4334911,23
nation,England,E92000001,2021-07-04,21320,4305380,22
nation,England,E92000001,2021-07-03,20207,4284060,23
nation,England,E92000001,2021-07-02,21742,4263853,24
nation,England,E92000001,2021-07-01,23618,4242111,18
nation,England,E92000001,2021-06-30,23403,4218493,20
nation,England,E92000001,2021-06-29,22678,4195090,20
nation,England,E92000001,2021-06-28,22878,4172412,9
nation,England,E92000001,2021-06-27,15043,4149534,17
nation,England,E92000001,2021-06-26,13180,4134491,9
nation,England,E92000001,2021-06-25,14517,4121311,19
nation,England,E92000001,2021-06-24,14709,4106794,19
nation,England,E92000001,2021-06-23,14398,4092085,5
nation,England,E92000001,2021-06-22,13217,4077687,9
nation,England,E92000001,2021-06-21,12407,4064470,13
nation,England,E92000001,2021-06-20,8007,4052063,20
nation,England,E92000001,2021-06-19,6940,4044056,19
nation,England,E92000001,2021-06-18,8506,4037116,10
nation,England,E92000001,2021-06-17,9199,4028610,5
nation,England,E92000001,2021-06-16,9155,4019411,10
nation,England,E92000001,2021-06-15,8867,4010256,13
nation,England,E92000001,2021-06-14,8689,4001389,8
nation,England,E92000001,2021-06-13,5909,3992700,7
nation,England,E92000001,2021-06-12,5255,3986791,13
nation,England,E92000001,2021-06-11,6337,3981536,6
nation,England,E92000001,2021-06-10,6530,3975199,9
nation,England,E92000001,2021-06-09,6719,3968669,4
nation,England,E92000001,2021-06-08,6430,3961950,7
nation,England,E92000001,2021-06-07,6597,3955520,4
nation,England,E92000001,2021-06-06,4611,3948923,5
nation,England,E92000001,2021-06-05,3861,3944312,4
nation,England,E92000001,2021-06-04,4739,3940451,8
nation,England,E92000001,2021-06-03,4974,3935712,10
nation,England,E92000001,2021-06-02,4919,3930738,9
nation,England,E92000001,2021-06-01,4333,3925819,3
nation,England,E92000001,2021-05-31,3062,3921486,7
nation,England,E92000001,2021-05-30,2533,3918424,7
nation,England,E92000001,2021-05-29,2392,3915891,5
nation,England,E92000001,2021-05-28,2827,3913499,6
nation,England,E92000001,2021-05-27,2961,3910672,7
nation,England,E92000001,2021-05-26,3069,3907711,10
nation,England,E92000001,2021-05-25,2693,3904642,3
nation,England,E92000001,2021-05-24,2617,3901949,8
nation,England,E92000001,2021-05-23,1842,3899332,6
nation,England,E92000001,2021-05-22,1535,3897490,3
nation,England,E92000001,2021-05-21,1799,3895955,7
nation,England,E92000001,2021-05-20,1913,3894156,5
nation,England,E92000001,2021-05-19,2174,3892243,3
nation,England,E92000001,2021-05-18,2141,3890069,3
nation,England,E92000001,2021-05-17,2243,3887928,5
nation,England,E92000001,2021-05-16,1521,3885685,6
nation,England,E92000001,2021-05-15,1260,3884164,7
nation,England,E92000001,2021-05-14,1459,3882904,3
nation,England,E92000001,2021-05-13,1656,3881445,4
nation,England,E92000001,2021-05-12,1768,3879789,9
nation,England,E92000001,2021-05-11,1745,3878021,13
nation,England,E92000001,2021-05-10,2175,3876276,8
nation,England,E92000001,2021-05-09,1849,3874101,8
nation,England,E92000001,2021-05-08,1203,3872252,8
nation,England,E92000001,2021-05-07,1559,3871049,8
nation,England,E92000001,2021-05-06,1807,3869490,7
nation,England,E92000001,2021-05-05,2043,3867683,12
nation,England,E92000001,2021-05-04,2044,3865640,9
nation,England,E92000001,2021-05-03,1696,3863596,8
nation,England,E92000001,2021-05-02,1214,3861900,10
nation,England,E92000001,2021-05-01,1129,3860686,7
nation,England,E92000001,2021-04-30,1412,3859557,8
nation,England,E92000001,2021-04-29,1763,3858145,11
nation,England,E92000001,2021-04-28,2018,3856382,13
nation,England,E92000001,2021-04-27,1695,3854364,10
nation,England,E92000001,2021-04-26,2091,3852669,9
nation,England,E92000001,2021-04-25,1774,3850578,12
nation,England,E92000001,2021-04-24,1203,3848804,7
nation,England,E92000001,2021-04-23,1581,3847601,17
nation,England,E92000001,2021-04-22,1886,3846020,14
nation,England,E92000001,2021-04-21,2128,3844134,17
nation,England,E92000001,2021-04-20,1941,3842006,17
nation,England,E92000001,2021-04-19,2129,3840065,16
nation,England,E92000001,2021-04-18,2130,3837936,15
nation,England,E92000001,2021-04-17,1309,3835806,18
nation,England,E92000001,2021-04-16,1810,3834497,15
nation,England,E92000001,2021-04-15,1803,3832687,17
nation,England,E92000001,2021-04-14,1944,3830884,9
nation,England,E92000001,2021-04-13,1911,3828940,19
nation,England,E92000001,2021-04-12,2238,3827029,25
nation,England,E92000001,2021-04-11,1899,3824791,19
nation,England,E92000001,2021-04-10,1888,3822892,18
nation,England,E92000001,2021-04-09,2317,3821004,17
nation,England,E92000001,2021-04-08,2481,3818687,31
nation,England,E92000001,2021-04-07,2587,3816206,25
nation,England,E92000001,2021-04-06,2564,3813619,23
nation,England,E92000001,2021-04-05,2191,3811055,10
nation,England,E92000001,2021-04-04,1923,3808864,24
nation,England,E92000001,2021-04-03,2013,3806941,27
nation,England,E92000001,2021-04-02,2129,3804928,19
nation,England,E92000001,2021-04-01,2865,3802799,28
nation,England,E92000001,2021-03-31,3147,3799934,37
nation,England,E92000001,2021-03-30,2956,3796787,38
nation,England,E92000001,2021-03-29,3198,3793831,26
nation,England,E92000001,2021-03-28,4104,3790633,27
nation,England,E92000001,2021-03-27,2946,3786529,29
nation,England,E92000001,2021-03-26,3626,3783583,41
nation,England,E92000001,2021-03-25,4451,3779957,37
nation,England,E92000001,2021-03-24,5118,3775506,34
nation,England,E92000001,2021-03-23,4346,3770388,46
nation,England,E92000001,2021-03-22,5148,3766042,57
nation,England,E92000001,2021-03-21,4518,3760894,70
nation,England,E92000001,2021-03-20,3368,3756376,59
nation,England,E92000001,2021-03-19,4143,3753008,56
nation,England,E92000001,2021-03-18,4528,3748865,51
nation,England,E92000001,2021-03-17,4849,3744337,65
nation,England,E92000001,2021-03-16,4742,3739488,66
nation,England,E92000001,2021-03-15,5439,3734746,84
nation,England,E92000001,2021-03-14,3586,3729307,79
nation,England,E92000001,2021-03-13,3455,3725721,99
nation,England,E92000001,2021-03-12,4619,3722266,81
nation,England,E92000001,2021-03-11,4690,3717647,107
nation,England,E92000001,2021-03-10,5014,3712957,97
nation,England,E92000001,2021-03-09,5222,3707943,113
nation,England,E92000001,2021-03-08,5572,3702721,121
nation,England,E92000001,2021-03-07,3544,3697149,113
nation,England,E92000001,2021-03-06,3708,3693605,129
nation,England,E92000001,2021-03-05,4554,3689897,156
nation,England,E92000001,2021-03-04,4797,3685343,129
nation,England,E92000001,2021-03-03,5103,3680546,126
nation,England,E92000001,2021-03-02,5686,3675443,155
nation,England,E92000001,2021-03-01,5893,3669757,193
nation,England,E92000001,2021-02-28,3956,3663864,198
nation,England,E92000001,2021-02-27,4104,3659908,196
nation,England,E92000001,2021-02-26,5671,3655804,194
nation,England,E92000001,2021-02-25,6619,3650133,221
nation,England,E92000001,2021-02-24,7304,3643514,240
nation,England,E92000001,2021-02-23,8143,3636210,255
nation,England,E92000001,2021-02-22,9858,3628067,241
nation,England,E92000001,2021-02-21,6800,3618209,285
nation,England,E92000001,2021-02-20,6895,3611409,302
nation,England,E92000001,2021-02-19,8885,3604514,316
nation,England,E92000001,2021-02-18,9911,3595629,364
nation,England,E92000001,2021-02-17,10027,3585718,384
nation,England,E92000001,2021-02-16,10818,3575691,395
