areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
nation,England,E92000001,2020-10-25,535,758145
nation,England,E92000001,2020-10-24,5366,757610
nation,England,E92000001,2020-10-23,13614,752244
nation,England,E92000001,2020-10-22,17846,738630
nation,England,E92000001,2020-10-21,20888,720784
nation,England,E92000001,2020-10-20,21132,699896
nation,England,E92000001,2020-10-19,21989,678764
nation,England,E92000001,2020-10-18,11820,656775
nation,England,E92000001,2020-10-17,12307,644955
nation,England,E92000001,2020-10-16,14502,632648
nation,England,E92000001,2020-10-15,15225,618146
nation,England,E92000001,2020-10-14,16418,602921
nation,England,E92000001,2020-10-13,15429,586503
nation,England,E92000001,2020-10-12,16177,571074
nation,England,E92000001,2020-10-11,9613,554897
nation,England,E92000001,2020-10-10,10145,545284
nation,England,E92000001,2020-10-09,12994,535139
nation,England,E92000001,2020-10-08,15248,522145
nation,England,E92000001,2020-10-07,15183,506897
nation,England,E92000001,2020-10-06,14285,491714
nation,England,E92000001,2020-10-05,14023,477429
nation,England,E92000001,2020-10-04,9808,463406
nation,England,E92000001,2020-10-03,9701,453598
nation,England,E92000001,2020-10-02,11551,443897
nation,England,E92000001,2020-10-01,11286,432346
nation,England,E92000001,2020-09-30,10507,421060
nation,England,E92000001,2020-09-29,8720,410553
nation,England,E92000001,2020-09-28,8567,401833
nation,England,E92000001,2020-09-27,6026,393266
nation,England,E92000001,2020-09-26,5646,387240
nation,England,E92000001,2020-09-25,6046,381594
nation,England,E92000001,2020-09-24,6297,375548
nation,England,E92000001,2020-09-23,5888,369251
nation,England,E92000001,2020-09-22,5368,363363
nation,England,E92000001,2020-09-21,4697,357995
nation,England,E92000001,2020-09-20,4620,353298
nation,England,E92000001,2020-09-19,4182,348678
nation,England,E92000001,2020-09-18,4281,344496
nation,England,E92000001,2020-09-17,3936,340215
nation,England,E92000001,2020-09-16,3746,336279
nation,England,E92000001,2020-09-15,3047,332533
nation,England,E92000001,2020-09-14,2898,329486
nation,England,E92000001,2020-09-13,1711,326588
nation,England,E92000001,2020-09-12,2213,324877
nation,England,E92000001,2020-09-11,2856,322664
nation,England,E92000001,2020-09-10,3102,319808
nation,England,E92000001,2020-09-09,2851,316706
nation,England,E92000001,2020-09-08,3001,313855
nation,England,E92000001,2020-09-07,3464,310854
nation,England,E92000001,2020-09-06,2056,307390
nation,England,E92000001,2020-09-05,2190,305334
nation,England,E92000001,2020-09-04,2588,303144
nation,England,E92000001,2020-09-03,2667,300556
nation,England,E92000001,2020-09-02,2618,297889
nation,England,E92000001,2020-09-01,1929,295271
nation,England,E92000001,2020-08-31,1259,293342
nation,England,E92000001,2020-08-30,980,292083
nation,England,E92000001,2020-08-29,1046,291103
nation,England,E92000001,2020-08-28,1389,290057
nation,England,E92000001,2020-08-27,1337,288668
nation,England,E92000001,2020-08-26,1141,287331
nation,England,E92000001,2020-08-25,1060,286190
nation,England,E92000001,2020-08-24,1083,285130
nation,England,E92000001,2020-08-23,692,284047
nation,England,E92000001,2020-08-22,715,283355
nation,England,E92000001,2020-08-21,1002,282640
nation,England,E92000001,2020-08-20,1222,281638
nation,England,E92000001,2020-08-19,1073,280416
nation,England,E92000001,2020-08-18,925,279343
nation,England,E92000001,2020-08-17,1138,278418
nation,England,E92000001,2020-08-16,527,277280
nation,England,E92000001,2020-08-15,645,276753
nation,England,E92000001,2020-08-14,1043,276108
nation,England,E92000001,2020-08-13,1018,275065
nation,England,E92000001,2020-08-12,1092,274047
nation,England,E92000001,2020-08-11,1213,272955
nation,England,E92000001,2020-08-10,1350,271742
nation,England,E92000001,2020-08-09,557,270392
nation,England,E92000001,2020-08-08,636,269835
nation,England,E92000001,2020-08-07,865,269199
nation,England,E92000001,2020-08-06,978,268334
nation,England,E92000001,2020-08-05,941,267356
nation,England,E92000001,2020-08-04,920,266415
nation,England,E92000001,2020-08-03,939,265495
nation,England,E92000001,2020-08-02,512,264556
nation,England,E92000001,2020-08-01,493,264044
nation,England,E92000001,2020-07-31,624,263551
nation,England,E92000001,2020-07-30,855,262927
nation,England,E92000001,2020-07-29,973,262072
nation,England,E92000001,2020-07-28,782,261099
nation,England,E92000001,2020-07-27,810,260317
nation,England,E92000001,2020-07-26,515,259507
nation,England,E92000001,2020-07-25,492,258992
nation,England,E92000001,2020-07-24,714,258500
nation,England,E92000001,2020-07-23,732,257786
nation,England,E92000001,2020-07-22,750,257054
nation,England,E92000001,2020-07-21,691,256304
nation,England,E92000001,2020-07-20,753,255613
nation,England,E92000001,2020-07-19,413,254860
nation,England,E92000001,2020-07-18,466,254447
nation,England,E92000001,2020-07-17,546,253981
nation,England,E92000001,2020-07-16,639,253435
nation,England,E92000001,2020-07-15,724,252796
nation,England,E92000001,2020-07-14,651,252072
nation,England,E92000001,2020-07-13,690,251421
nation,England,E92000001,2020-07-12,351,250731
nation,England,E92000001,2020-07-11,422,250380
nation,England,E92000001,2020-07-10,521,249958
nation,England,E92000001,2020-07-09,679,249437
nation,England,E92000001,2020-07-08,672,248758
nation,England,E92000001,2020-07-07,558,248086
nation,England,E92000001,2020-07-06,654,247528
nation,England,E92000001,2020-07-05,540,246874
nation,England,E92000001,2020-07-04,383,246334
nation,England,E92000001,2020-07-03,536,245951
nation,England,E92000001,2020-07-02,560,245415
nation,England,E92000001,2020-07-01,603,244855
nation,England,E92000001,2020-06-30,570,244252
nation,England,E92000001,2020-06-29,666,243682
nation,England,E92000001,2020-06-28,411,243016
nation,England,E92000001,2020-06-27,503,242605
nation,England,E92000001,2020-06-26,643,242102
nation,England,E92000001,2020-06-25,637,241459
nation,England,E92000001,2020-06-24,727,240822
nation,England,E92000001,2020-06-23,728,240095
nation,England,E92000001,2020-06-22,814,239367
nation,England,E92000001,2020-06-21,551,238553
nation,England,E92000001,2020-06-20,628,238002
nation,England,E92000001,2020-06-19,809,237374
nation,England,E92000001,2020-06-18,944,236565
nation,England,E92000001,2020-06-17,912,235621
nation,England,E92000001,2020-06-16,991,234709
nation,England,E92000001,2020-06-15,938,233718
nation,England,E92000001,2020-06-14,745,232780
nation,England,E92000001,2020-06-13,785,232035
nation,England,E92000001,2020-06-12,934,231250
nation,England,E92000001,2020-06-11,915,230316
nation,England,E92000001,2020-06-10,1084,229401
nation,England,E92000001,2020-06-09,1058,228317
nation,England,E92000001,2020-06-08,989,227259
nation,England,E92000001,2020-06-07,663,226270
nation,England,E92000001,2020-06-06,719,225607
nation,England,E92000001,2020-06-05,1021,224888
nation,England,E92000001,2020-06-04,1143,223867
nation,England,E92000001,2020-06-03,1242,222724
nation,England,E92000001,2020-06-02,1353,221482
nation,England,E92000001,2020-06-01,1313,220129
nation,England,E92000001,2020-05-31,984,218816
nation,England,E92000001,2020-05-30,1001,217832
nation,England,E92000001,2020-05-29,1369,216831
nation,England,E92000001,2020-05-28,1568,215462
nation,England,E92000001,2020-05-27,1613,213894
nation,England,E92000001,2020-05-26,1459,212281
nation,England,E92000001,2020-05-25,1378,210822
nation,England,E92000001,2020-05-24,1198,209444
nation,England,E92000001,2020-05-23,1300,208246
nation,England,E92000001,2020-05-22,1797,206946
nation,England,E92000001,2020-05-21,2275,205149
nation,England,E92000001,2020-05-20,2354,202874
nation,England,E92000001,2020-05-19,2588,200520
nation,England,E92000001,2020-05-18,2216,197932
nation,England,E92000001,2020-05-17,1588,195716
nation,England,E92000001,2020-05-16,1771,194128
nation,England,E92000001,2020-05-15,2134,192357
nation,England,E92000001,2020-05-14,2212,190223
nation,England,E92000001,2020-05-13,2880,188011
nation,England,E92000001,2020-05-12,2926,185131
nation,England,E92000001,2020-05-11,3069,182205
nation,England,E92000001,2020-05-10,2005,179136
nation,England,E92000001,2020-05-09,1793,177131
nation,England,E92000001,2020-05-08,2617,175338
nation,England,E92000001,2020-05-07,3202,172721
nation,England,E92000001,2020-05-06,3270,169519
nation,England,E92000001,2020-05-05,3146,166249
nation,England,E92000001,2020-05-04,2841,163103
nation,England,E92000001,2020-05-03,2629,160262
nation,England,E92000001,2020-05-02,2749,157633
nation,England,E92000001,2020-05-01,4091,154884
nation,England,E92000001,2020-04-30,4315,150793
nation,England,E92000001,2020-04-29,4738,146478
nation,England,E92000001,2020-04-28,4123,141740
nation,England,E92000001,2020-04-27,4033,137617
nation,England,E92000001,2020-04-26,3135,133584
nation,England,E92000001,2020-04-25,3372,130449
nation,England,E92000001,2020-04-24,4360,127077
nation,England,E92000001,2020-04-23,4561,122717
nation,England,E92000001,2020-04-22,4797,118156
nation,England,E92000001,2020-04-21,3972,113359
nation,England,E92000001,2020-04-20,3690,109387
nation,England,E92000001,2020-04-19,3471,105697
nation,England,E92000001,2020-04-18,4115,102226
nation,England,E92000001,2020-04-17,4078,98111
nation,England,E92000001,2020-04-16,4363,94033
nation,England,E92000001,2020-04-15,4241,89670
nation,England,E92000001,2020-04-14,3558,85429
nation,England,E92000001,2020-04-13,3446,81871
nation,England,E92000001,2020-04-12,2944,78425
nation,England,E92000001,2020-04-11,3081,75481
nation,England,E92000001,2020-04-10,3585,72400
nation,England,E92000001,2020-04-09,4059,68815
nation,England,E92000001,2020-04-08,4293,64756
nation,England,E92000001,2020-04-07,4580,60463
nation,England,E92000001,2020-04-06,4397,55883
nation,England,E92000001,2020-04-05,3083,51486
nation,England,E92000001,2020-04-04,3383,48403
nation,England,E92000001,2020-04-03,4108,45020
nation,England,E92000001,2020-04-02,4061,40912
nation,England,E92000001,2020-04-01,4103,36851
nation,England,E92000001,2020-03-31,3785,32748
nation,England,E92000001,2020-03-30,3527,28963
nation,England,E92000001,2020-03-29,2441,25436
nation,England,E92000001,2020-03-28,2377,22995
nation,England,E92000001,2020-03-27,2657,20618
nation,England,E92000001,2020-03-26,2616,17961
nation,England,E92000001,2020-03-25,2262,15345
nation,England,E92000001,2020-03-24,2023,13083
nation,England,E92000001,2020-03-23,2015,11060
nation,England,E92000001,2020-03-22,1210,9045
nation,England,E92000001,2020-03-21,1036,7835
nation,England,E92000001,2020-03-20,1083,6799
nation,England,E92000001,2020-03-19,930,5716
nation,England,E92000001,2020-03-18,908,4786
nation,England,E92000001,2020-03-17,679,3878
nation,England,E92000001,2020-03-16,547,3199
nation,England,E92000001,2020-03-15,398,2652
nation,England,E92000001,2020-03-14,314,2254
nation,England,E92000001,2020-03-13,393,1940
nation,England,E92000001,2020-03-12,414,1547
nation,England,E92000001,2020-03-11,353,1133
nation,England,E92000001,2020-03-10,226,780
nation,England,E92000001,2020-03-09,124,554
nation,England,E92000001,2020-03-08,50,430
nation,England,E92000001,2020-03-07,54,380
nation,England,E92000001,2020-03-06,73,326
nation,England,E92000001,2020-03-05,47,253
nation,England,E92000001,2020-03-04,49,206
nation,England,E92000001,2020-03-03,53,157
nation,England,E92000001,2020-03-02,39,104
nation,England,E92000001,2020-03-01,20,65
nation,England,E92000001,2020-02-29,5,45
nation,England,E92000001,2020-02-28,11,40
nation,England,E92000001,2020-02-27,7,29
nation,England,E92000001,2020-02-26,4,22
nation,England,E92000001,2020-02-25,5,18
nation,England,E92000001,2020-02-24,2,13
nation,England,E92000001,2020-02-23,1,11
nation,England,E92000001,2020-02-22,0,10
nation,England,E92000001,2020-02-21,1,10
nation,England,E92000001,2020-02-20,0,9
nation,England,E92000001,2020-02-19,0,9
nation,England,E92000001,2020-02-18,0,9
nation,England,E92000001,2020-02-17,0,9
nation,England,E92000001,2020-02-16,0,9
nation,England,E92000001,2020-02-15,0,9
nation,England,E92000001,2020-02-14,0,9
nation,England,E92000001,2020-02-13,0,9
nation,England,E92000001,2020-02-12,0,9
nation,England,E92000001,2020-02-11,1,9
nation,England,E92000001,2020-02-10,0,8
nation,England,E92000001,2020-02-09,1,8
nation,England,E92000001,2020-02-08,4,7
nation,England,E92000001,2020-02-07,0,3
nation,England,E92000001,2020-02-06,0,3
nation,England,E92000001,2020-02-05,1,3
nation,England,E92000001,2020-02-04,0,2
nation,England,E92000001,2020-02-03,0,2
nation,England,E92000001,2020-02-02,0,2
nation,England,E92000001,2020-02-01,0,2
nation,England,E92000001,2020-01-31,0,2
nation,England,E92000001,2020-01-30,2,2
nation,Northern Ireland,N92000002,2020-10-25,621,34832
nation,Northern Ireland,N92000002,2020-10-24,779,34211
nation,Northern Ireland,N92000002,2020-10-23,914,33432
nation,Northern Ireland,N92000002,2020-10-22,1129,32518
nation,Northern Ireland,N92000002,2020-10-21,1177,31389
nation,Northern Ireland,N92000002,2020-10-20,1114,30212
nation,Northern Ireland,N92000002,2020-10-19,1094,29098
nation,Northern Ireland,N92000002,2020-10-18,821,28004
nation,Northern Ireland,N92000002,2020-10-17,871,27183
nation,Northern Ireland,N92000002,2020-10-16,1001,26312
nation,Northern Ireland,N92000002,2020-10-15,1133,25311
nation,Northern Ireland,N92000002,2020-10-14,1089,24178
nation,Northern Ireland,N92000002,2020-10-13,1108,23089
nation,Northern Ireland,N92000002,2020-10-12,1129,21981
nation,Northern Ireland,N92000002,2020-10-11,844,20852
nation,Northern Ireland,N92000002,2020-10-10,808,20008
nation,Northern Ireland,N92000002,2020-10-09,861,19200
nation,Northern Ireland,N92000002,2020-10-08,996,18339
nation,Northern Ireland,N92000002,2020-10-07,1045,17343
nation,Northern Ireland,N92000002,2020-10-06,809,16298
nation,Northern Ireland,N92000002,2020-10-05,717,15489
nation,Northern Ireland,N92000002,2020-10-04,617,14772
nation,Northern Ireland,N92000002,2020-10-03,628,14155
nation,Northern Ireland,N92000002,2020-10-02,705,13527
nation,Northern Ireland,N92000002,2020-10-01,486,12822
nation,Northern Ireland,N92000002,2020-09-30,645,12336
nation,Northern Ireland,N92000002,2020-09-29,397,11691
nation,Northern Ireland,N92000002,2020-09-28,300,11294
nation,Northern Ireland,N92000002,2020-09-27,273,10994
nation,Northern Ireland,N92000002,2020-09-26,270,10721
nation,Northern Ireland,N92000002,2020-09-25,245,10451
nation,Northern Ireland,N92000002,2020-09-24,286,10206
nation,Northern Ireland,N92000002,2020-09-23,222,9920
nation,Northern Ireland,N92000002,2020-09-22,172,9698
nation,Northern Ireland,N92000002,2020-09-21,135,9526
nation,Northern Ireland,N92000002,2020-09-20,124,9391
nation,Northern Ireland,N92000002,2020-09-19,161,9267
nation,Northern Ireland,N92000002,2020-09-18,168,9106
nation,Northern Ireland,N92000002,2020-09-17,170,8938
nation,Northern Ireland,N92000002,2020-09-16,137,8768
nation,Northern Ireland,N92000002,2020-09-15,108,8631
nation,Northern Ireland,N92000002,2020-09-14,120,8523
nation,Northern Ireland,N92000002,2020-09-13,91,8403
nation,Northern Ireland,N92000002,2020-09-12,107,8312
nation,Northern Ireland,N92000002,2020-09-11,73,8205
nation,Northern Ireland,N92000002,2020-09-10,79,8132
nation,Northern Ireland,N92000002,2020-09-09,98,8053
nation,Northern Ireland,N92000002,2020-09-08,56,7955
nation,Northern Ireland,N92000002,2020-09-07,72,7899
nation,Northern Ireland,N92000002,2020-09-06,106,7827
nation,Northern Ireland,N92000002,2020-09-05,91,7721
nation,Northern Ireland,N92000002,2020-09-04,131,7630
nation,Northern Ireland,N92000002,2020-09-03,108,7499
nation,Northern Ireland,N92000002,2020-09-02,91,7391
nation,Northern Ireland,N92000002,2020-09-01,65,7300
nation,Northern Ireland,N92000002,2020-08-31,54,7235
nation,Northern Ireland,N92000002,2020-08-30,35,7181
nation,Northern Ireland,N92000002,2020-08-29,44,7146
nation,Northern Ireland,N92000002,2020-08-28,87,7102
nation,Northern Ireland,N92000002,2020-08-27,79,7015
nation,Northern Ireland,N92000002,2020-08-26,70,6936
